,coords,weight,point_type
271,"(44.94559960000001, -93.2442208)",24,Child Care
272,"(44.9575251, -93.2489103)",29,Child Care
273,"(44.859776, -93.4506234)",158,Child Care
274,"(45.0596539, -92.9477363)",20,Child Care
275,"(44.9811559, -93.1903168)",24,Child Care
276,"(44.9791343, -93.1935033)",75,Child Care
277,"(45.563341, -94.1488169)",40,Child Care
278,"(45.0425388, -92.8052916)",43,Child Care
279,"(44.942407, -93.445655)",145,Child Care
280,"(44.0201826, -92.4476674)",40,Child Care
281,"(46.3604478, -94.1968335)",40,Child Care
282,"(46.729553, -94.6858998)",40,Child Care
283,"(44.768409, -93.3262476)",56,Child Care
284,"(44.9147, -93.2785218)",102,Child Care
285,"(46.92284859999999, -95.0718304)",22,Child Care
286,"(47.2383956, -93.5300147)",20,Child Care
287,"(44.8233664, -93.3012218)",20,Child Care
288,"(44.9476849, -93.1834092)",70,Child Care
289,"(44.0477021, -91.6306929)",74,Child Care
290,"(44.9799802, -93.4065944)",91,Child Care
291,"(45.0830275, -93.0146426)",40,Child Care
292,"(46.79340029999999, -92.092866)",64,Child Care
293,"(43.9676909, -92.0582097)",20,Child Care
294,"(44.8367175, -93.3493607)",20,Child Care
295,"(44.97013219999999, -93.8497034)",20,Child Care
296,"(44.0008098, -96.3261381)",17,Child Care
297,"(44.9409031, -93.1382092)",131,Child Care
298,"(44.723112, -93.4078077)",85,Child Care
299,"(46.5948951, -95.5842225)",30,Child Care
300,"(44.3233766, -93.9641698)",20,Child Care
301,"(44.904623, -93.3282675)",99,Child Care
302,"(44.730806, -92.8825754)",32,Child Care
303,"(44.86590349999999, -93.3101811)",60,Child Care
304,"(43.9696159, -92.0636861)",20,Child Care
305,"(46.36087269999999, -94.7943528)",8,Child Care
306,"(45.0545223, -92.818707)",40,Child Care
307,"(45.1075087, -93.2082253)",83,Child Care
308,"(44.9198737, -93.2915642)",54,Child Care
309,"(44.9823979, -93.3755104)",63,Child Care
310,"(47.3105785, -93.3813475)",20,Child Care
311,"(44.9595393, -93.294997)",94,Child Care
312,"(44.9812918, -93.4518851)",91,Child Care
313,"(44.9625882, -93.1657228)",30,Child Care
314,"(44.0806256, -92.5189271)",74,Child Care
315,"(45.0042221, -92.8824687)",88,Child Care
316,"(44.8904587, -93.0826869)",148,Child Care
317,"(44.8043068, -93.3308791)",90,Child Care
318,"(44.8490848, -93.1268984)",32,Child Care
319,"(46.8723997, -96.7688747)",101,Child Care
320,"(46.5204348, -95.3650707)",20,Child Care
321,"(44.8474047, -93.7776392)",82,Child Care
322,"(44.07906819999999, -93.2150858)",45,Child Care
323,"(44.9993896, -93.5749329)",64,Child Care
